Length:   1, 	Linear:  1, 	Polynomial: x^1 + 1;
Length:   2, 	Linear:  1, 	Polynomial: x^1;
Length:   3, 	Linear:  1, 	Polynomial: x^1;
Length:   4, 	Linear:  1, 	Polynomial: x^1;
Length:   5, 	Linear:  1, 	Polynomial: x^1;
Length:   6, 	Linear:  1, 	Polynomial: x^1;
Length:   7, 	Linear:  6, 	Polynomial: x^6 + 1;
Length:   8, 	Linear:  6, 	Polynomial: x^6 + 1;
Length:   9, 	Linear:  6, 	Polynomial: x^6 + 1;
Length:  54, 	Linear: 27, 	Polynomial: x^27 + x^26 + x^25 + x^19 + x^18 + x^17 + x^16 + x^14 + x^13 + x^11 + x^5 + x^3 + x^2 + x^1;
Length:  55, 	Linear: 28, 	Polynomial: x^28 + x^27 + x^26 + x^25 + x^24 + x^23 + x^20 + x^19 + x^18 + x^16 + x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5 + x^4 + x^2 + x^1 + 1;
Length:  56, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  57, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  58, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  59, 	Linear: 28, 	Polynomial: x^28 + x^24 + x^23 + x^20 + x^17 + x^14 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + 1;
Length:  60, 	Linear: 32, 	Polynomial: x^32 + x^28 + x^26 + x^25 + x^24 + x^21 + x^19 + x^17 + x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  61, 	Linear: 32, 	Polynomial: x^32 + x^28 + x^26 + x^25 + x^24 + x^21 + x^19 + x^17 + x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  62, 	Linear: 32, 	Polynomial: x^32 + x^28 + x^26 + x^25 + x^24 + x^21 + x^19 + x^17 + x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1;
Length:  63, 	Linear: 32, 	Polynomial: x^32 + x^29 + x^28 + x^26 + x^19 + x^18 + x^17 + x^15 + x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^3 + x^2;
Length:  64, 	Linear: 32, 	Polynomial: x^32 + x^29 + x^26 + x^24 + x^23 + x^20 + x^19 + x^18 + x^15 + x^13 + x^11 + x^6 + x^4 + x^2 + 1;
Length:  65, 	Linear: 33, 	Polynomial: x^33 + x^30 + x^28 + x^27 + x^25 + x^23 + x^21 + x^19 + x^17 + x^16 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + x^1 + 1;
Length:  66, 	Linear: 33, 	Polynomial: x^33 + x^32 + x^30 + x^29 + x^28 + x^27 + x^26 + x^25 + x^24 + x^21 + x^20 + x^18 + x^17 + x^16 + x^15 + x^13 + x^11 + x^9 + x^8 + x^7 + x^5 + x^2 + x^1;
Length:  67, 	Linear: 34, 	Polynomial: x^34 + x^33 + x^32 + x^31 + x^30 + x^28 + x^27 + x^25 + x^24 + x^23 + x^22 + x^21 + x^20 + x^17 + x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^4 + x^3 + 1;
Length:  68, 	Linear: 34, 	Polynomial: x^34 + x^31 + x^29 + x^26 + x^23 + x^22 + x^18 + x^14 + x^12 + x^10 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1 + 1;
Length:  69, 	Linear: 34, 	Polynomial: x^34 + x^31 + x^29 + x^26 + x^23 + x^22 + x^18 + x^14 + x^12 + x^10 + x^7 + x^5 + x^4 + x^3 + x^2 + x^1 + 1;
Length:  70, 	Linear: 36, 	Polynomial: x^36 + x^32 + x^31 + x^30 + x^29 + x^27 + x^26 + x^21 + x^18 + x^17 + x^15 + x^14 + x^13 + x^12 + x^11 + x^8 + x^6 + x^4 + x^3 + x^1;
Length:  71, 	Linear: 36, 	Polynomial: x^36 + x^32 + x^31 + x^30 + x^29 + x^27 + x^26 + x^21 + x^18 + x^17 + x^15 + x^14 + x^13 + x^12 + x^11 + x^8 + x^6 + x^4 + x^3 + x^1;
Length:  72, 	Linear: 36, 	Polynomial: x^36 + x^34 + x^32 + x^30 + x^27 + x^23 + x^22 + x^21 + x^17 + x^15 + x^13 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5 + x^2 + 1;
Length:  73, 	Linear: 37, 	Polynomial: x^37 + x^35 + x^34 + x^33 + x^29 + x^28 + x^26 + x^24 + x^16 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^2 + 1;
Length:  74, 	Linear: 37, 	Polynomial: x^37 + x^35 + x^34 + x^33 + x^29 + x^28 + x^26 + x^24 + x^16 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^2 + 1;
Length:  75, 	Linear: 38, 	Polynomial: x^38 + x^35 + x^32 + x^29 + x^25 + x^23 + x^22 + x^21 + x^15 + x^13 + x^12 + x^9 + x^8 + x^3 + x^2 + x^1 + 1;
Length:  76, 	Linear: 38, 	Polynomial: x^38 + x^37 + x^34 + x^33 + x^32 + x^28 + x^26 + x^25 + x^24 + x^23 + x^22 + x^21 + x^16 + x^15 + x^13 + x^12 + x^11 + x^10 + x^6 + x^5 + x^4 + x^3 + x^1;
Length:  77, 	Linear: 38, 	Polynomial: x^38 + x^37 + x^34 + x^33 + x^32 + x^28 + x^26 + x^25 + x^24 + x^23 + x^22 + x^21 + x^16 + x^15 + x^13 + x^12 + x^11 + x^10 + x^6 + x^5 + x^4 + x^3 + x^1;
Length:  78, 	Linear: 40, 	Polynomial: x^40 + x^39 + x^37 + x^36 + x^33 + x^30 + x^29 + x^27 + x^25 + x^23 + x^18 + x^17 + x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  79, 	Linear: 40, 	Polynomial: x^40 + x^39 + x^37 + x^36 + x^33 + x^30 + x^29 + x^27 + x^25 + x^23 + x^18 + x^17 + x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  80, 	Linear: 40, 	Polynomial: x^40 + x^39 + x^37 + x^36 + x^33 + x^30 + x^29 + x^27 + x^25 + x^23 + x^18 + x^17 + x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  81, 	Linear: 41, 	Polynomial: x^41 + x^40 + x^33 + x^32 + x^31 + x^30 + x^25 + x^23 + x^22 + x^21 + x^19 + x^18 + x^17 + x^14 + x^8 + x^6;
Length:  82, 	Linear: 41, 	Polynomial: x^41 + x^40 + x^33 + x^32 + x^31 + x^30 + x^25 + x^23 + x^22 + x^21 + x^19 + x^18 + x^17 + x^14 + x^8 + x^6;
Length:  83, 	Linear: 41, 	Polynomial: x^41 + x^40 + x^33 + x^32 + x^31 + x^30 + x^25 + x^23 + x^22 + x^21 + x^19 + x^18 + x^17 + x^14 + x^8 + x^6;
Length:  84, 	Linear: 41, 	Polynomial: x^41 + x^40 + x^33 + x^32 + x^31 + x^30 + x^25 + x^23 + x^22 + x^21 + x^19 + x^18 + x^17 + x^14 + x^8 + x^6;
Length:  85, 	Linear: 41, 	Polynomial: x^41 + x^40 + x^33 + x^32 + x^31 + x^30 + x^25 + x^23 + x^22 + x^21 + x^19 + x^18 + x^17 + x^14 + x^8 + x^6;
Length:  86, 	Linear: 45, 	Polynomial: x^45 + x^44 + x^40 + x^39 + x^35 + x^34 + x^33 + x^30 + x^26 + x^22 + x^21 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  87, 	Linear: 45, 	Polynomial: x^45 + x^44 + x^40 + x^39 + x^35 + x^34 + x^33 + x^30 + x^26 + x^22 + x^21 + x^17 + x^16 + x^15 + x^14 + x^13 + x^11 + x^9 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  88, 	Linear: 45, 	Polynomial: x^45 + x^44 + x^43 + x^42 + x^40 + x^39 + x^32 + x^30 + x^27 + x^26 + x^25 + x^24 + x^23 + x^22 + x^20 + x^19 + x^17 + x^15 + x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  89, 	Linear: 45, 	Polynomial: x^45 + x^44 + x^43 + x^42 + x^40 + x^39 + x^32 + x^30 + x^27 + x^26 + x^25 + x^24 + x^23 + x^22 + x^20 + x^19 + x^17 + x^15 + x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  90, 	Linear: 45, 	Polynomial: x^45 + x^44 + x^43 + x^42 + x^40 + x^39 + x^32 + x^30 + x^27 + x^26 + x^25 + x^24 + x^23 + x^22 + x^20 + x^19 + x^17 + x^15 + x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  91, 	Linear: 45, 	Polynomial: x^45 + x^44 + x^43 + x^42 + x^40 + x^39 + x^32 + x^30 + x^27 + x^26 + x^25 + x^24 + x^23 + x^22 + x^20 + x^19 + x^17 + x^15 + x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4 + x^3 + x^2 + 1;
Length:  92, 	Linear: 47, 	Polynomial: x^47 + x^46 + x^45 + x^44 + x^42 + x^40 + x^34 + x^33 + x^31 + x^30 + x^29 + x^28 + x^27 + x^26 + x^24 + x^23 + x^18 + x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^4 + x^2;
Length:  93, 	Linear: 47, 	Polynomial: x^47 + x^43 + x^42 + x^41 + x^34 + x^30 + x^29 + x^25 + x^21 + x^20 + x^13 + x^3 + x^2 + x^1;
Length:  94, 	Linear: 47, 	Polynomial: x^47 + x^43 + x^42 + x^41 + x^34 + x^30 + x^29 + x^25 + x^21 + x^20 + x^13 + x^3 + x^2 + x^1;
Length:  95, 	Linear: 48, 	Polynomial: x^48 + x^45 + x^40 + x^39 + x^35 + x^32 + x^31 + x^27 + x^25 + x^24 + x^23 + x^21 + x^20 + x^19 + x^17 + x^15 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + 1;
Length:  96, 	Linear: 48, 	Polynomial: x^48 + x^47 + x^45 + x^43 + x^42 + x^41 + x^40 + x^39 + x^35 + x^34 + x^32 + x^31 + x^30 + x^29 + x^27 + x^24 + x^23 + x^19 + x^17 + x^15 + x^11 + x^10 + x^9 + x^8 + x^7 + x^3 + x^2 + x^1 + 1;
Length:  97, 	Linear: 49, 	Polynomial: x^49 + x^48 + x^47 + x^46 + x^44 + x^40 + x^36 + x^35 + x^34 + x^33 + x^32 + x^31 + x^29 + x^28 + x^24 + x^21 + x^18 + x^16 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^4;
Length:  98, 	Linear: 49, 	Polynomial: x^49 + x^46 + x^45 + x^44 + x^43 + x^42 + x^41 + x^39 + x^36 + x^33 + x^30 + x^28 + x^27 + x^23 + x^21 + x^19 + x^18 + x^17 + x^16 + x^15 + x^13 + x^12 + x^7 + x^4 + x^3 + x^2 + x^1 + 1;
Length:  99, 	Linear: 49, 	Polynomial: x^49 + x^46 + x^45 + x^44 + x^43 + x^42 + x^41 + x^39 + x^36 + x^33 + x^30 + x^28 + x^27 + x^23 + x^21 + x^19 + x^18 + x^17 + x^16 + x^15 + x^13 + x^12 + x^7 + x^4 + x^3 + x^2 + x^1 + 1;
